"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Male","340","340.39360","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Female","290","290.14780","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Both sexes","316","316.04960","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Male","330","330.01610","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Female","283","283.21820","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Both sexes","307","307.24160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Male","309","309.44090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Female","275","274.92170","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Both sexes","292","292.34300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Male","304","304.08660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Female","268","268.46760","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Both sexes","286","286.45690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Male","300","300.24340","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Female","263","263.05490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Both sexes","282","281.89430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Male","296","295.86270","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Female","258","257.85540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Both sexes","277","277.18130","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Male","296","296.30720","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Female","254","254.29790","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Both sexes","276","275.81990","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Male","294","294.04440","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Female","250","249.80840","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Both sexes","273","272.59230","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Male","286","285.63710","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Female","243","242.77650","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Both sexes","265","264.89890","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Male","281","280.51210","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Female","238","237.58430","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Both sexes","260","259.81070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Male","275","275.34120","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Female","233","232.60100","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Both sexes","255","254.77470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Male","268","268.06290","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Female","227","226.64930","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Both sexes","248","248.16540","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Male","262","261.68110","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Female","221","221.35660","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Both sexes","242","242.33070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Male","254","253.99070","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Female","215","215.35470","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Both sexes","235","235.46260","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Male","254","253.88730","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Female","213","212.93670","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Both sexes","234","234.31860","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Male","254","253.98310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Female","210","210.22090","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Both sexes","233","233.15310","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Male","272","271.80300","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Female","216","215.55850","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","245","245.22490","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Angola","Male","423","423.01160","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Angola","Female","345","344.68690","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2000","Africa","Angola","Both sexes","384","383.55830","","",""
"Adult mortality rate (probability of dying between 15 and 60 years per 1000 population)","Published","2001","Africa","Angola","Male","412","412.46580","","",""
