"Indicator","Data Source","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"General government expenditure on health as a percentage of total government expenditure","","Published","2006","Africa","Upper-middle-income","Angola","9.56","9.56467","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2007","Africa","Upper-middle-income","Angola","6.42","6.41671","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2008","Africa","Upper-middle-income","Angola","6.46","6.46451","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2009","Africa","Upper-middle-income","Angola","6.36","6.35845","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2010","Africa","Upper-middle-income","Angola","5.43","5.43233","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2011","Africa","Upper-middle-income","Angola","5.58","5.58480","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2012","Africa","Upper-middle-income","Angola","5.57","5.57303","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2013","Africa","Upper-middle-income","Angola","7.42","7.42322","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2014","Africa","Upper-middle-income","Angola","5.00","5.00429","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1995","Europe","Upper-middle-income","Albania","5.51","5.51379","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1996","Europe","Upper-middle-income","Albania","6.63","6.62760","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Europe","Upper-middle-income","Albania","6.75","6.75492","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Europe","Upper-middle-income","Albania","6.30","6.30005","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2005","Africa","Upper-middle-income","Angola","6.08","6.08002","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2004","Africa","Upper-middle-income","Angola","6.25","6.25413","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2003","Africa","Upper-middle-income","Angola","4.61","4.61275","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2002","Africa","Upper-middle-income","Angola","3.38","3.37719","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2001","Africa","Upper-middle-income","Angola","5.77","5.77496","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","2000","Africa","Upper-middle-income","Angola","2.86","2.86214","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1999","Africa","Upper-middle-income","Angola","2.62","2.61570","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1998","Africa","Upper-middle-income","Angola","3.29","3.29001","","",""
"General government expenditure on health as a percentage of total government expenditure","","Published","1997","Africa","Upper-middle-income","Angola","4.09","4.09428","","",""
